Aktuální problémy fyziky nízkých teplot [NFPL180, cvičení]	20/82/45	1,05:0,22	-
Aktuárský seminář 2 [NMFM502, cvičení]	05/14/14	1,80:0,45	-
Algebra 2 [NMAG202, cvičení]	22/89/89	2,18:1,22	-
Algebra 2 [NMAG202, přednáška]	23/89/89	1,87:0,97	-
Algebraické křivky [NMAG302, cvičení]	8/37/37	2,50:0,76	-
Algebraické křivky [NMAG302, přednáška]	8/37/37	2,00:0,93	-
Algoritmy a datové struktury I [NTIN060, cvičení]	48/177/178	1,90:1,02	-
Algoritmy a datové struktury I [NTIN060, přednáška]	47/177/178	1,68:0,81	-
Anglický jazyk pro mírně pokročilé II [NJAZ073, cvičení]	08/19/19	1,13:0,35	-
Anglický jazyk pro pokročilé doktorandy II [NJAZ118, cvičení]	07/23/24	1,29:0,49	-
Anglický jazyk pro středně pokročilé a pokročilé II [NJAZ072, cvičení]	86/270/270	1,71:0,85	-
Anglický jazyk pro středně pokročilé a pokročilé IV [NJAZ090, cvičení]	42/134/134	1,79:0,87	-
Aplikace teorie neuronových sítí [NAIL013, přednáška]	5/34/17	2,00:1,41	-
Architektura počítačů [NSWI143, přednáška]	20/90/90	1,45:0,60	-
Automaty a gramatiky [NTIN071, cvičení]	27/143/145	1,67:0,78	-
Automaty a gramatiky [NTIN071, přednáška]	23/143/145	1,70:0,56	-
Český jazyk pro začátečníky II [NJAZ098, cvičení]	12/31/31	1,75:0,75	-
Databázové systémy [NDBI025, cvičení]	22/140/142	2,14:0,89	-
Databázové systémy [NDBI025, přednáška]	20/140/142	2,15:0,75	-
 	Počet	Předmět	Vyučující
Datové struktury I [NTIN066, cvičení]	7/48/28	1,29:0,76	-
Datové struktury I [NTIN066, přednáška]	07/27/28	1,14:0,38	-
Dějiny matematiky II [NMUM306, přednáška]	5/35/35	1,20:0,45	-
Demografie [NMFM461, přednáška]	05/11/11	1,60:0,89	-
Doporučené postupy v programování [NPRG043, cvičení]	07/26/26	1,86:0,69	-
Doporučené postupy v programování [NPRG043, přednáška]	07/26/26	1,71:0,76	-
Ekonometrický seminář 1 [NMEK450, cvičení]	05/26/13	1,80:1,10	-
Ekonometrie [NMEK432, cvičení]	05/21/21	1,40:0,89	-
Ekonometrie [NMEK432, přednáška]	07/21/21	1,71:0,95	-
Ekonomie [NMFM260, přednáška]	5/35/35	1,40:0,55	-
Evoluční algoritmy II [NAIL086, cvičení]	8/43/45	1,88:0,99	-
Evoluční algoritmy II [NAIL086, přednáška]	7/43/45	1,14:0,38	-
Fyzika II (elektřina a magnetismus) [NOFY018, cvičení]	40/119/119	1,85:0,95	-
Fyzika II (elektřina a magnetismus) [NOFY018, přednáška]	37/238/119	2,27:0,96	-
Fyzika IV (atomová fyzika a elektronová struktura látek) [NOFY025, cvičení]	21/86/86	1,33:0,58	-
Fyzika IV (atomová fyzika a elektronová struktura látek) [NOFY025, přednáška]	18/172/86	1,67:1,08	-
Fyzika v experimentech II [NOFY068, přednáška]	13/64/64	1,38:0,65	-
Fyzikální praktikum III pro obor Fyzika zaměřená na vzdělávání [NUFY099, cvičení]	8/52/13	3,50:1,51	-
Geometrie [NMAG204, cvičení]	20/78/78	2,25:0,91	-
 	Počet	Předmět	Vyučující
Geometrie [NMAG204, přednáška]	21/78/78	2,10:0,89	-
Geometrie II [NMUM204, cvičení]	10/40/40	1,30:0,48	-
Geometrie II [NMUM204, přednáška]	11/40/40	2,00:0,77	-
Hluboké učení [NPFL114, cvičení]	26/120/120	1,15:0,46	-
Hluboké učení [NPFL114, přednáška]	25/120/120	1,04:0,20	-
Introduction to Colour Science [NPGR025, přednáška]	05/30/30	1,40:0,55	-
Kalkulus 2 [NMMA112, cvičení]	05/28/28	1,80:0,45	-
Kalkulus 2 [NMMA112, přednáška]	06/28/28	1,83:0,41	-
Klasická elektrodynamika [NOFY026, cvičení]	19/87/87	1,47:0,77	-
Klasická elektrodynamika [NOFY026, přednáška]	20/87/87	1,65:0,93	-
Kombinatorika [NMUM208, přednáška]	8/38/38	1,50:0,76	-
Kombinatorika a grafy I [NDMI011, cvičení]	42/160/160	1,86:0,93	-
Kombinatorika a grafy I [NDMI011, přednáška]	39/160/160	1,36:0,58	-
Kryptografické systémy [NMMB201, cvičení]	06/18/18	1,33:0,52	-
Kryptografické systémy [NMMB201, přednáška]	07/18/18	1,14:0,38	-
Kvantová mechanika [NUFY100, cvičení]	07/23/24	1,14:0,38	-
Kvantová mechanika [NUFY100, přednáška]	07/24/24	1,14:0,38	-
Kvantová mechanika II [NTMF067, cvičení]	8/33/33	1,13:0,35	-
Kvantová mechanika II [NTMF067, přednáška]	8/33/33	1,13:0,35	-
 	Počet	Předmět	Vyučující
