Administrace Unixu [NSWI106, cvičení]	09/26/26	1,33:0,71	-
Administrace Unixu [NSWI106, přednáška]	06/26/26	2,67:0,82	-
Aktuárský seminář 1 [NMFM501, cvičení]	08/16/16	2,25:0,89	-
Algebra I [NMAI062, cvičení]	19/64/64	1,84:1,07	-
Algebra I [NMAI062, přednáška]	13/64/64	2,00:0,82	-
Algebra 1 [NMAG201, cvičení]	31/89/90	2,13:0,76	-
Algebra 1 [NMAG201, přednáška]	30/90/90	1,83:0,83	-
Algebraická geometrie [NMAG401, přednáška]	05/11/12	1,40:0,55	-
Algebraická topologie 1 [NMAG409, cvičení]	06/16/16	2,83:1,17	-
Algebraická topologie 1 [NMAG409, přednáška]	07/16/16	2,71:1,11	-
Algoritmy a datové struktury II [NTIN061, cvičení]	43/135/137	1,56:0,77	-
Algoritmy a datové struktury II [NTIN061, přednáška]	37/135/137	1,41:0,60	-
Analýza datových struktur [NTIN105, cvičení]	05/15/15	1,60:0,55	-
Analýza investic [NMFM431, cvičení]	08/14/14	2,00:0,93	-
Analýza investic [NMFM431, přednáška]	09/14/14	2,11:0,93	-
Analýza maticových výpočtů 1 [NMNM331, cvičení]	10/26/26	1,40:0,70	-
Analýza maticových výpočtů 1 [NMNM331, přednáška]	11/26/26	1,55:0,82	-
Anglický jazyk pro mírně pokročilé I [NJAZ071, cvičení]	9/66/33	1,22:0,44	-
Anglický jazyk pro mírně pokročilé III [NJAZ075, cvičení]	9/34/17	1,56:0,88	-
 	Počet	Předmět	Vyučující
Anglický jazyk pro středně pokročilé a pokročilé I [NJAZ070, cvičení]	174/427/427	1,71:0,80	-
Anglický jazyk pro středně pokročilé a pokročilé III [NJAZ074, cvičení]	74/179/179	1,55:0,72	-
Aplikovaná kryptografie 1 [NMMB301, přednáška]	11/16/16	1,73:1,01	-
Architektury softwarových systémů [NSWI130, přednáška]	06/13/13	1,83:0,98	-
Astrofyzika pro fyziky [NAST023, přednáška]	05/15/15	1,00:0,00	-
Astronomie a astrofyzika [NUFY020, přednáška]	05/15/15	2,00:0,71	-
Bakalářský seminář z matematiky I [NMUM331, cvičení]	11/27/27	1,45:0,69	-
Certificate in Advanced English (CAE) - přípravný kurz I [NJAZ087, cvičení]	05/12/12	1,60:0,89	-
Časové řady [NMST537, cvičení]	13/23/23	1,69:1,03	-
Časové řady [NMST537, přednáška]	13/23/23	1,77:1,01	-
Český jazyk pro začátečníky I [NJAZ097, cvičení]	19/33/34	1,21:0,42	-
Databázové aplikace [NDBI026, cvičení]	6/49/50	2,00:1,26	-
Databázové aplikace [NDBI026, přednáška]	5/50/50	2,20:1,10	-
Datové a procesní modely [NMMB303, cvičení]	10/48/16	1,90:0,88	-
Datové a procesní modely [NMMB303, přednáška]	11/48/16	2,64:1,12	-
Datové struktury I [NTIN066, cvičení]	21/80/80	2,86:0,96	-
Datové struktury I [NTIN066, přednáška]	21/80/80	2,19:0,93	-
Dějiny matematiky I [NMUM305, přednáška]	11/35/35	1,55:0,82	-
Diferenciální geometrie [NMUM301, cvičení]	11/36/36	1,64:1,03	-
 	Počet	Předmět	Vyučující
Diferenciální geometrie [NMUM301, přednáška]	11/36/36	1,45:0,82	-
Digitální zpracování obrazu [NPGR002, přednáška]	10/42/43	1,70:0,82	-
Diskrétní matematika [NDMI002, cvičení]	73/196/197	1,55:0,71	-
Diskrétní matematika [NMIN105, cvičení]	67/239/239	1,55:0,94	-
Diskrétní matematika [NDMI002, přednáška]	75/196/197	1,56:0,76	-
Diskrétní matematika [NMIN105, přednáška]	64/239/239	1,75:0,87	-
Evoluční algoritmy I [NAIL025, cvičení]	12/66/66	1,00:0,00	-
Evoluční algoritmy I [NAIL025, přednáška]	13/66/66	1,08:0,28	-
Experimentální metody fyziky I [NOFY059, cvičení]	9/36/18	1,78:0,83	-
Filozofické problémy fyziky [NPOZ007, cvičení]	25/150/75	1,44:0,58	-
Finanční deriváty 1 [NMFM531, přednáška]	05/22/11	2,60:0,89	-
Formální základy softwarového inženýrství [NTIN043, cvičení]	05/26/13	2,00:1,41	-
Formální základy softwarového inženýrství [NTIN043, přednáška]	05/26/13	2,20:1,64	-
Fyzika I (mechanika) [NUFY080, cvičení]	10/35/30	1,00:0,00	-
Fyzika I (mechanika) [NUFY080, přednáška]	11/75/30	1,00:0,00	-
Fyzika I (mechanika a molekulová fyzika) [NOFY021, cvičení]	63/137/137	1,35:0,65	-
Fyzika I (mechanika a molekulová fyzika) [NOFY021, přednáška]	62/274/137	1,48:0,72	-
Fyzika III (optika) [NOFY022, cvičení]	30/77/77	1,87:1,01	-
Fyzika III (optika) [NUFY102, cvičení]	08/15/15	2,50:1,31	-
 	Počet	Předmět	Vyučující
Fyzika III (optika) [NOFY022, přednáška]	26/154/77	1,35:0,56	-
Fyzika III (optika) [NUFY102, přednáška]	05/26/15	2,00:0,71	-
Fyzika IV (atomová fyzika) [NUFY103, cvičení]	6/48/24	2,83:1,17	-
Fyzika IV (atomová fyzika) [NUFY103, přednáška]	8/48/24	3,25:1,04	-
Fyzika polovodičů pro optoelektroniku I [NOOE002, přednáška]	05/24/12	1,00:0,00	-
Fyzika v experimentech I [NOFY067, přednáška]	45/188/94	1,18:0,44	-
Fyzika V (jaderná a subjaderná fyzika) [NOFY029, cvičení]	28/72/72	1,54:0,58	-
Fyzika V (jaderná a subjaderná fyzika) [NOFY029, přednáška]	26/72/72	1,65:0,63	-
Fyzikální praktikum II pro obor Fyzika zaměřená na vzdělávání [NUFY098, cvičení]	6/33/11	2,17:0,98	-
Fyzikální praktikum II pro obor Obecná fyzika [NOFY024, cvičení]	28/281/73	2,11:0,88	-
Geometrické metody teoretické fyziky I [NTMF059, cvičení]	08/18/18	1,75:1,04	-
Geometrické metody teoretické fyziky I [NTMF059, přednáška]	09/18/18	1,78:0,97	-
Geometrické modelování [NMMB434, cvičení]	12/22/22	1,58:0,79	-
Geometrické modelování [NMMB434, přednáška]	13/22/22	1,38:0,65	-
Geometrie I [NMUM203, cvičení]	14/44/44	1,57:0,65	-
Geometrie I [NMUM203, přednáška]	10/44/44	1,70:0,82	-
Heuristické metody ve výuce fyziky I [NDFY051, cvičení]	06/30/16	1,17:0,41	-
Hluboké zpětnovazební učení [NPFL122, cvičení]	8/43/44	1,13:0,35	-
Hluboké zpětnovazební učení [NPFL122, přednáška]	11/43/44	1,00:0,00	-
 	Počet	Předmět	Vyučující
Implementace datových struktur [NTIN106, cvičení]	07/27/27	2,29:1,11	-
Implementace neuronových sítí I [NAIL060, přednáška]	05/26/27	1,40:0,55	-
Informatika a kognitivní vědy I [NAIL087, cvičení]	10/40/41	2,10:0,99	-
Informatika a kognitivní vědy I [NAIL087, přednáška]	11/80/41	1,82:0,98	-
Interpretace kvantové mechaniky [NTMF036, cvičení]	05/12/12	1,60:0,55	-
Interpretace kvantové mechaniky [NTMF036, přednáška]	07/12/12	1,29:0,49	-
Java [NPRG013, cvičení]	22/115/115	2,32:0,99	-
Java [NPRG013, přednáška]	19/115/115	2,32:1,06	-
Jazyk C# a platforma .NET [NPRG035, cvičení]	34/134/134	1,50:0,90	-
Jazyk C# a platforma .NET [NPRG035, přednáška]	37/134/134	1,32:0,78	-
Kalkulus 1 [NMMA111, cvičení]	7/57/57	2,00:1,15	-
Kalkulus 1 [NMMA111, přednáška]	10/57/57	2,10:0,99	-
Klasická elektrodynamika [NUFY096, přednáška]	09/20/20	1,33:0,71	-
Kombinatorika a grafy II [NDMI012, cvičení]	20/56/56	1,30:0,47	-
Kombinatorika a grafy II [NDMI012, přednáška]	21/56/56	1,24:0,44	-
Komutativní okruhy [NMAG301, cvičení]	24/35/35	1,46:0,72	-
Komutativní okruhy [NMAG301, přednáška]	25/35/35	1,20:0,50	-
Kvadratické formy a třídová tělesa I [NMAG455, přednáška]	08/19/20	1,38:0,74	-
Kvantová mechanika I [NTMF066, cvičení]	9/36/36	1,11:0,33	-
 	Počet	Předmět	Vyučující
Kvantová mechanika I [NTMF066, přednáška]	11/36/36	1,18:0,40	-
Kvantová teorie I [NBCM110, cvičení]	14/30/32	1,21:0,43	-
Kvantová teorie I [NBCM110, přednáška]	14/31/32	1,21:0,43	-
Kvantová teorie pole I [NJSF145, cvičení]	05/19/19	1,80:0,84	-
Lineární algebra a geometrie 1 [NMAG101, cvičení]	62/251/251	1,81:0,97	-
Lineární algebra a geometrie 1 [NMAG101, přednáška]	66/251/251	1,42:0,68	-
Lineární algebra I [NMAF027, cvičení]	56/143/143	1,52:0,85	-
Lineární algebra I [NMAI057, cvičení]	64/202/202	1,81:0,83	-
Lineární algebra I [NMUM103, cvičení]	13/62/62	1,15:0,38	-
Lineární algebra I [NMAF027, přednáška]	60/143/143	1,67:0,91	-
Lineární algebra I [NMAI057, přednáška]	56/202/202	1,95:0,98	-
Lineární algebra I [NMUM103, přednáška]	12/60/62	1,42:0,67	-
Lineární regrese [NMSA407, cvičení]	20/43/43	1,85:0,81	-
Lineární regrese [NMSA407, přednáška]	17/43/43	2,00:0,94	-
Matematická analýza I [NMAF051, cvičení]	62/141/142	1,84:0,83	-
Matematická analýza I [NMAI054, cvičení]	58/204/204	1,74:0,93	-
Matematická analýza I [NMUM101, cvičení]	11/70/70	1,82:0,75	-
Matematická analýza I [NMAF051, přednáška]	58/141/142	2,16:1,01	-
